Date,code,Inventory Value,Inventory,color_B,color_G,color_W,Month,Value ,Year
2023-08-01,123,22,56,1,0,0,8,3,2023
2023-09-01,123,22,56,1,0,0,9,1,2023
2023-09-01,123,22,56,1,0,0,9,1,2023
2023-10-01,123,22,56,1,0,0,10,3,2023
2023-10-01,123,22,56,1,0,0,10,3,2023
2023-11-01,123,22,56,1,0,0,11,0,2023
2023-11-01,123,22,56,1,0,0,11,0,2023
2023-12-01,123,22,56,1,0,0,12,33,2023
2023-12-01,123,22,56,1,0,0,12,33,2023
2023-01-01,23,222,112,0,0,1,1,6,2023
2023-01-01,23,222,112,0,0,1,1,6,2023
2023-02-01,23,222,112,0,0,1,2,3,2023
2023-02-01,23,222,112,0,0,1,2,3,2023
2023-03-01,23,222,112,0,0,1,3,0,2023
2023-03-01,23,222,112,0,0,1,3,0,2023
2023-04-01,23,222,112,0,0,1,4,2,2023
2023-04-01,23,222,112,0,0,1,4,2,2023
2023-05-01,23,222,112,0,0,1,5,97,2023
2023-05-01,23,222,112,0,0,1,5,97,2023
2023-06-01,23,222,112,0,0,1,6,4,2023
2023-06-01,23,222,112,0,0,1,6,4,2023
2023-07-01,23,222,112,0,0,1,7,5,2023
2023-07-01,23,222,112,0,0,1,7,5,2023
2023-08-01,23,222,112,0,0,1,8,3,2023
2023-08-01,23,222,112,0,0,1,8,3,2023
2023-09-01,23,222,112,0,0,1,9,2,2023
2023-09-01,23,222,112,0,0,1,9,2,2023
2023-10-01,23,222,112,0,0,1,10,1,2023
2023-10-01,23,222,112,0,0,1,10,1,2023
2023-11-01,23,222,112,0,0,1,11,3,2023
2023-11-01,23,222,112,0,0,1,11,3,2023
2023-12-01,23,222,112,0,0,1,12,5,2023
2023-12-01,23,222,112,0,0,1,12,5,2023
2023-01-01,23,222,112,0,0,1,1,6,2023
2023-01-01,23,222,112,0,0,1,1,6,2023
2023-02-01,23,222,112,0,0,1,2,3,2023
2023-02-01,23,222,112,0,0,1,2,3,2023
2023-03-01,23,222,112,0,0,1,3,0,2023
2023-03-01,23,222,112,0,0,1,3,0,2023
2023-04-01,23,222,112,0,0,1,4,2,2023
2023-04-01,23,222,112,0,0,1,4,2,2023
2023-05-01,23,222,112,0,0,1,5,97,2023
2023-05-01,23,222,112,0,0,1,5,97,2023
2023-06-01,23,222,112,0,0,1,6,4,2023
2023-06-01,23,222,112,0,0,1,6,4,2023
2023-07-01,23,222,112,0,0,1,7,5,2023
2023-07-01,23,222,112,0,0,1,7,5,2023
2023-08-01,23,222,112,0,0,1,8,3,2023
2023-08-01,23,222,112,0,0,1,8,3,2023
2023-09-01,23,222,112,0,0,1,9,2,2023
2023-09-01,23,222,112,0,0,1,9,2,2023
2023-10-01,23,222,112,0,0,1,10,1,2023
2023-10-01,23,222,112,0,0,1,10,1,2023
2023-11-01,23,222,112,0,0,1,11,3,2023
2023-11-01,23,222,112,0,0,1,11,3,2023
2023-12-01,23,222,112,0,0,1,12,5,2023
2023-12-01,23,222,112,0,0,1,12,5,2023
2023-01-01,9134,120,45,0,1,0,1,34,2023
2023-01-01,9134,120,45,0,1,0,1,34,2023
2023-02-01,9134,120,45,0,1,0,2,55,2023
2023-02-01,9134,120,45,0,1,0,2,55,2023
2023-03-01,9134,120,45,0,1,0,3,7,2023
2023-03-01,9134,120,45,0,1,0,3,7,2023
2023-04-01,9134,120,45,0,1,0,4,8,2023
2023-04-01,9134,120,45,0,1,0,4,8,2023
2023-05-01,9134,120,45,0,1,0,5,9,2023
2023-05-01,9134,120,45,0,1,0,5,9,2023
2023-06-01,9134,120,45,0,1,0,6,12,2023
2023-06-01,9134,120,45,0,1,0,6,12,2023
2023-07-01,9134,120,45,0,1,0,7,34,2023
2023-07-01,9134,120,45,0,1,0,7,34,2023
2023-08-01,9134,120,45,0,1,0,8,5,2023
2023-08-01,9134,120,45,0,1,0,8,5,2023
2023-09-01,9134,120,45,0,1,0,9,0,2023
2023-09-01,9134,120,45,0,1,0,9,0,2023
2023-10-01,9134,120,45,0,1,0,10,5,2023
2023-10-01,9134,120,45,0,1,0,10,5,2023
2023-11-01,9134,120,45,0,1,0,11,22,2023
2023-11-01,9134,120,45,0,1,0,11,22,2023
2023-12-01,9134,120,45,0,1,0,12,22,2023
2023-12-01,9134,120,45,0,1,0,12,22,2023
2023-01-01,9134,120,45,0,1,0,1,34,2023
2023-01-01,9134,120,45,0,1,0,1,34,2023
2023-02-01,9134,120,45,0,1,0,2,55,2023
2023-02-01,9134,120,45,0,1,0,2,55,2023
2023-03-01,9134,120,45,0,1,0,3,7,2023
2023-03-01,9134,120,45,0,1,0,3,7,2023
2023-04-01,9134,120,45,0,1,0,4,8,2023
2023-04-01,9134,120,45,0,1,0,4,8,2023
2023-05-01,9134,120,45,0,1,0,5,9,2023
2023-05-01,9134,120,45,0,1,0,5,9,2023
2023-06-01,9134,120,45,0,1,0,6,12,2023
2023-06-01,9134,120,45,0,1,0,6,12,2023
2023-07-01,9134,120,45,0,1,0,7,34,2023
2023-07-01,9134,120,45,0,1,0,7,34,2023
2023-08-01,9134,120,45,0,1,0,8,5,2023
2023-08-01,9134,120,45,0,1,0,8,5,2023
2023-09-01,9134,120,45,0,1,0,9,0,2023
2023-09-01,9134,120,45,0,1,0,9,0,2023
2023-10-01,9134,120,45,0,1,0,10,5,2023
2023-10-01,9134,120,45,0,1,0,10,5,2023
2023-11-01,9134,120,45,0,1,0,11,22,2023
2023-11-01,9134,120,45,0,1,0,11,22,2023
2023-12-01,9134,120,45,0,1,0,12,22,2023
2023-12-01,9134,120,45,0,1,0,12,22,2023
2023-01-01,12,22,56,1,0,0,1,4,2023
2023-01-01,12,22,56,1,0,0,1,4,2023
2023-02-01,12,22,56,1,0,0,2,5,2023
2023-02-01,12,22,56,1,0,0,2,5,2023
2023-03-01,12,22,56,1,0,0,3,7,2023
2023-03-01,12,22,56,1,0,0,3,7,2023
2023-04-01,12,22,56,1,0,0,4,3,2023
2023-04-01,12,22,56,1,0,0,4,3,2023
2023-05-01,12,22,56,1,0,0,5,4,2023
2023-05-01,12,22,56,1,0,0,5,4,2023
2023-06-01,12,22,56,1,0,0,6,2,2023
2023-06-01,12,22,56,1,0,0,6,2,2023
2023-07-01,12,22,56,1,0,0,7,0,2023
2023-07-01,12,22,56,1,0,0,7,0,2023
2023-08-01,12,22,56,1,0,0,8,3,2023
2023-08-01,12,22,56,1,0,0,8,3,2023
2023-09-01,12,22,56,1,0,0,9,1,2023
2023-09-01,12,22,56,1,0,0,9,1,2023
2023-10-01,12,22,56,1,0,0,10,3,2023
2023-10-01,12,22,56,1,0,0,10,3,2023
2023-11-01,12,22,56,1,0,0,11,0,2023
2023-11-01,12,22,56,1,0,0,11,0,2023
2023-12-01,12,22,56,1,0,0,12,33,2023
2023-12-01,12,22,56,1,0,0,12,33,2023
2023-01-01,12,22,56,1,0,0,1,4,2023
2023-01-01,12,22,56,1,0,0,1,4,2023
2023-02-01,12,22,56,1,0,0,2,5,2023
2023-02-01,12,22,56,1,0,0,2,5,2023
2023-03-01,12,22,56,1,0,0,3,7,2023
2023-03-01,12,22,56,1,0,0,3,7,2023
2023-04-01,12,22,56,1,0,0,4,3,2023
2023-04-01,12,22,56,1,0,0,4,3,2023
2023-05-01,12,22,56,1,0,0,5,4,2023
2023-05-01,12,22,56,1,0,0,5,4,2023
2023-06-01,12,22,56,1,0,0,6,2,2023
2023-06-01,12,22,56,1,0,0,6,2,2023
2023-07-01,12,22,56,1,0,0,7,0,2023
2023-07-01,12,22,56,1,0,0,7,0,2023
2023-08-01,12,22,56,1,0,0,8,3,2023
2023-08-01,12,22,56,1,0,0,8,3,2023
2023-09-01,12,22,56,1,0,0,9,1,2023
2023-09-01,12,22,56,1,0,0,9,1,2023
2023-10-01,12,22,56,1,0,0,10,3,2023
2023-10-01,12,22,56,1,0,0,10,3,2023
2023-11-01,12,22,56,1,0,0,11,0,2023
2023-11-01,12,22,56,1,0,0,11,0,2023
2023-12-01,12,22,56,1,0,0,12,33,2023
2023-12-01,12,22,56,1,0,0,12,33,2023
2023-01-01,76,222,112,0,0,1,1,6,2023
2023-01-01,76,222,112,0,0,1,1,6,2023
2023-02-01,76,222,112,0,0,1,2,3,2023
2023-02-01,76,222,112,0,0,1,2,3,2023
2023-03-01,76,222,112,0,0,1,3,0,2023
2023-03-01,76,222,112,0,0,1,3,0,2023
2023-04-01,76,222,112,0,0,1,4,2,2023
2023-04-01,76,222,112,0,0,1,4,2,2023
2023-05-01,76,222,112,0,0,1,5,97,2023
2023-05-01,76,222,112,0,0,1,5,97,2023
2023-06-01,76,222,112,0,0,1,6,4,2023
2023-06-01,76,222,112,0,0,1,6,4,2023
2023-07-01,76,222,112,0,0,1,7,5,2023
2023-07-01,76,222,112,0,0,1,7,5,2023
2023-08-01,76,222,112,0,0,1,8,3,2023
2023-08-01,76,222,112,0,0,1,8,3,2023
2023-09-01,76,222,112,0,0,1,9,2,2023
2023-09-01,76,222,112,0,0,1,9,2,2023
2023-10-01,76,222,112,0,0,1,10,1,2023
2023-10-01,76,222,112,0,0,1,10,1,2023
2023-11-01,76,222,112,0,0,1,11,3,2023
2023-11-01,76,222,112,0,0,1,11,3,2023
2023-12-01,76,222,112,0,0,1,12,5,2023
2023-12-01,76,222,112,0,0,1,12,5,2023
2023-01-01,76,222,112,0,0,1,1,6,2023
2023-01-01,76,222,112,0,0,1,1,6,2023
2023-02-01,76,222,112,0,0,1,2,3,2023
2023-02-01,76,222,112,0,0,1,2,3,2023
2023-03-01,76,222,112,0,0,1,3,0,2023
2023-03-01,76,222,112,0,0,1,3,0,2023
2023-04-01,76,222,112,0,0,1,4,2,2023
2023-04-01,76,222,112,0,0,1,4,2,2023
2023-05-01,76,222,112,0,0,1,5,97,2023
2023-05-01,76,222,112,0,0,1,5,97,2023
2023-06-01,76,222,112,0,0,1,6,4,2023
2023-06-01,76,222,112,0,0,1,6,4,2023
2023-07-01,76,222,112,0,0,1,7,5,2023
2023-07-01,76,222,112,0,0,1,7,5,2023
2023-08-01,76,222,112,0,0,1,8,3,2023
2023-08-01,76,222,112,0,0,1,8,3,2023
2023-09-01,76,222,112,0,0,1,9,2,2023
2023-09-01,76,222,112,0,0,1,9,2,2023
2023-10-01,76,222,112,0,0,1,10,1,2023
2023-10-01,76,222,112,0,0,1,10,1,2023
2023-11-01,76,222,112,0,0,1,11,3,2023
2023-11-01,76,222,112,0,0,1,11,3,2023
2023-12-01,76,222,112,0,0,1,12,5,2023
2023-12-01,76,222,112,0,0,1,12,5,2023
2023-01-01,121,120,45,0,1,0,1,34,2023
2023-01-01,121,120,45,0,1,0,1,34,2023
2023-02-01,121,120,45,0,1,0,2,55,2023
2023-02-01,121,120,45,0,1,0,2,55,2023
2023-03-01,121,120,45,0,1,0,3,7,2023
2023-03-01,121,120,45,0,1,0,3,7,2023
2023-04-01,121,120,45,0,1,0,4,8,2023
2023-04-01,121,120,45,0,1,0,4,8,2023
2023-05-01,121,120,45,0,1,0,5,9,2023
2023-05-01,121,120,45,0,1,0,5,9,2023
2023-06-01,121,120,45,0,1,0,6,12,2023
2023-06-01,121,120,45,0,1,0,6,12,2023
2023-07-01,121,120,45,0,1,0,7,34,2023
2023-07-01,121,120,45,0,1,0,7,34,2023
2023-08-01,121,120,45,0,1,0,8,5,2023
2023-08-01,121,120,45,0,1,0,8,5,2023
2023-09-01,121,120,45,0,1,0,9,0,2023
2023-09-01,121,120,45,0,1,0,9,0,2023
2023-10-01,121,120,45,0,1,0,10,5,2023
2023-10-01,121,120,45,0,1,0,10,5,2023
2023-11-01,121,120,45,0,1,0,11,22,2023
2023-11-01,121,120,45,0,1,0,11,22,2023
2023-12-01,121,120,45,0,1,0,12,22,2023
2023-12-01,121,120,45,0,1,0,12,22,2023
2023-01-01,121,120,45,0,1,0,1,34,2023
2023-01-01,121,120,45,0,1,0,1,34,2023
2023-02-01,121,120,45,0,1,0,2,55,2023
2023-02-01,121,120,45,0,1,0,2,55,2023
2023-03-01,121,120,45,0,1,0,3,7,2023
2023-03-01,121,120,45,0,1,0,3,7,2023
2023-04-01,121,120,45,0,1,0,4,8,2023
2023-04-01,121,120,45,0,1,0,4,8,2023
2023-05-01,121,120,45,0,1,0,5,9,2023
2023-05-01,121,120,45,0,1,0,5,9,2023
2023-06-01,121,120,45,0,1,0,6,12,2023
2023-06-01,121,120,45,0,1,0,6,12,2023
2023-07-01,121,120,45,0,1,0,7,34,2023
2023-07-01,121,120,45,0,1,0,7,34,2023
2023-08-01,121,120,45,0,1,0,8,5,2023
2023-08-01,121,120,45,0,1,0,8,5,2023
2023-09-01,121,120,45,0,1,0,9,0,2023
2023-09-01,121,120,45,0,1,0,9,0,2023
2023-10-01,121,120,45,0,1,0,10,5,2023
2023-10-01,121,120,45,0,1,0,10,5,2023
2023-11-01,121,120,45,0,1,0,11,22,2023
2023-11-01,121,120,45,0,1,0,11,22,2023
2023-12-01,121,120,45,0,1,0,12,22,2023
2023-12-01,121,120,45,0,1,0,12,22,2023
2023-01-01,765,22,56,1,0,0,1,4,2023
2023-01-01,765,22,56,1,0,0,1,4,2023
2023-02-01,765,22,56,1,0,0,2,5,2023
2023-02-01,765,22,56,1,0,0,2,5,2023
2023-03-01,765,22,56,1,0,0,3,7,2023
2023-03-01,765,22,56,1,0,0,3,7,2023
2023-04-01,765,22,56,1,0,0,4,3,2023
2023-04-01,765,22,56,1,0,0,4,3,2023
2023-05-01,765,22,56,1,0,0,5,4,2023
2023-05-01,765,22,56,1,0,0,5,4,2023
2023-06-01,765,22,56,1,0,0,6,2,2023
2023-06-01,765,22,56,1,0,0,6,2,2023
2023-07-01,765,22,56,1,0,0,7,0,2023
2023-07-01,765,22,56,1,0,0,7,0,2023
2023-08-01,765,22,56,1,0,0,8,3,2023
2023-08-01,765,22,56,1,0,0,8,3,2023
2023-09-01,765,22,56,1,0,0,9,1,2023
2023-09-01,765,22,56,1,0,0,9,1,2023
2023-10-01,765,22,56,1,0,0,10,3,2023
2023-10-01,765,22,56,1,0,0,10,3,2023
2023-11-01,765,22,56,1,0,0,11,0,2023
2023-11-01,765,22,56,1,0,0,11,0,2023
2023-12-01,765,22,56,1,0,0,12,33,2023
2023-12-01,765,22,56,1,0,0,12,33,2023
2023-01-01,765,22,56,1,0,0,1,4,2023
2023-01-01,765,22,56,1,0,0,1,4,2023
2023-02-01,765,22,56,1,0,0,2,5,2023
2023-02-01,765,22,56,1,0,0,2,5,2023
2023-03-01,765,22,56,1,0,0,3,7,2023
2023-03-01,765,22,56,1,0,0,3,7,2023
2023-04-01,765,22,56,1,0,0,4,3,2023
2023-04-01,765,22,56,1,0,0,4,3,2023
2023-05-01,765,22,56,1,0,0,5,4,2023
2023-05-01,765,22,56,1,0,0,5,4,2023
2023-06-01,765,22,56,1,0,0,6,2,2023
2023-06-01,765,22,56,1,0,0,6,2,2023
2023-07-01,765,22,56,1,0,0,7,0,2023
2023-07-01,765,22,56,1,0,0,7,0,2023
2023-08-01,765,22,56,1,0,0,8,3,2023
2023-08-01,765,22,56,1,0,0,8,3,2023
2023-09-01,765,22,56,1,0,0,9,1,2023
2023-09-01,765,22,56,1,0,0,9,1,2023
2023-10-01,765,22,56,1,0,0,10,3,2023
2023-10-01,765,22,56,1,0,0,10,3,2023
2023-11-01,765,22,56,1,0,0,11,0,2023
2023-11-01,765,22,56,1,0,0,11,0,2023
2023-12-01,765,22,56,1,0,0,12,33,2023
2023-12-01,765,22,56,1,0,0,12,33,2023
2023-01-01,33,222,112,0,0,1,1,6,2023
2023-01-01,33,222,112,0,0,1,1,6,2023
2023-02-01,33,222,112,0,0,1,2,3,2023
2023-02-01,33,222,112,0,0,1,2,3,2023
2023-03-01,33,222,112,0,0,1,3,0,2023
2023-03-01,33,222,112,0,0,1,3,0,2023
2023-04-01,33,222,112,0,0,1,4,2,2023
2023-04-01,33,222,112,0,0,1,4,2,2023
2023-05-01,33,222,112,0,0,1,5,97,2023
2023-05-01,33,222,112,0,0,1,5,97,2023
2023-06-01,33,222,112,0,0,1,6,4,2023
2023-06-01,33,222,112,0,0,1,6,4,2023
2023-07-01,33,222,112,0,0,1,7,5,2023
2023-07-01,33,222,112,0,0,1,7,5,2023
2023-08-01,33,222,112,0,0,1,8,3,2023
2023-08-01,33,222,112,0,0,1,8,3,2023
2023-09-01,33,222,112,0,0,1,9,2,2023
2023-09-01,33,222,112,0,0,1,9,2,2023
2023-10-01,33,222,112,0,0,1,10,1,2023
2023-10-01,33,222,112,0,0,1,10,1,2023
2023-11-01,33,222,112,0,0,1,11,3,2023
2023-11-01,33,222,112,0,0,1,11,3,2023
2023-12-01,33,222,112,0,0,1,12,5,2023
2023-12-01,33,222,112,0,0,1,12,5,2023
2023-01-01,33,222,112,0,0,1,1,6,2023
2023-01-01,33,222,112,0,0,1,1,6,2023
2023-02-01,33,222,112,0,0,1,2,3,2023
2023-02-01,33,222,112,0,0,1,2,3,2023
2023-03-01,33,222,112,0,0,1,3,0,2023
2023-03-01,33,222,112,0,0,1,3,0,2023
2023-04-01,33,222,112,0,0,1,4,2,2023
2023-04-01,33,222,112,0,0,1,4,2,2023
2023-05-01,33,222,112,0,0,1,5,97,2023
2023-05-01,33,222,112,0,0,1,5,97,2023
2023-06-01,33,222,112,0,0,1,6,4,2023
2023-06-01,33,222,112,0,0,1,6,4,2023
2023-07-01,33,222,112,0,0,1,7,5,2023
2023-07-01,33,222,112,0,0,1,7,5,2023
2023-08-01,33,222,112,0,0,1,8,3,2023
2023-08-01,33,222,112,0,0,1,8,3,2023
2023-09-01,33,222,112,0,0,1,9,2,2023
2023-09-01,33,222,112,0,0,1,9,2,2023
2023-10-01,33,222,112,0,0,1,10,1,2023
2023-10-01,33,222,112,0,0,1,10,1,2023
2023-11-01,33,222,112,0,0,1,11,3,2023
2023-11-01,33,222,112,0,0,1,11,3,2023
2023-12-01,33,222,112,0,0,1,12,5,2023
2023-12-01,33,222,112,0,0,1,12,5,2023
2023-01-01,9124,120,45,0,1,0,1,34,2023
2023-01-01,9124,120,45,0,1,0,1,34,2023
2023-02-01,9124,120,45,0,1,0,2,55,2023
2023-02-01,9124,120,45,0,1,0,2,55,2023
2023-03-01,9124,120,45,0,1,0,3,7,2023
