code_p,name_p,color_p,Inventory value,Inventory,Total orders,total 23,January,February,March,April,May,June,July,August,September,October,Novermber,December,AV23,multiplier,Minimum stock,purchase_r
15913,JIMI,B,nan,13.0,0.0,2.0,0,1,0,0,0,0,0,0,0,0,1,0,0,5.0,1.0,12.0
15914,JIMI,G,nan,36.0,0.0,7.0,3,0,0,0,2,0,0,0,1,0,1,0,0,5.0,2.0,34.0
15911,JIMI,G,nan,358.0,0.0,50.0,23,1,0,2,4,3,0,2,2,6,2,5,2,5.0,12.0,346.0
15910,JIMI,B,nan,185.0,0.0,52.0,10,2,3,7,16,5,-4,0,2,6,2,3,1,5.0,6.0,179.0
15387,JIMI,,nan,923.0,0.0,54.0,22,10,3,0,2,0,0,2,10,5,0,0,3,5.0,17.0,906.0
15909,JIMI,W,nan,205.0,0.0,10.0,1,4,0,0,1,1,0,0,2,1,0,0,1,5.0,3.0,202.0
15386,JIMI,,nan,886.0,0.0,78.0,33,10,6,0,5,12,0,0,4,0,8,0,2,5.0,12.0,874.0
15912,JIMI,W,nan,20.0,0.0,15.0,0,1,0,0,0,14,0,0,0,0,0,0,0,5.0,0.0,20.0
15917,JIMI,W,nan,23.0,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0,0.0,23.0
15027,MINI B,W,nan,215.0,nan,nan,220,201,79,0,156,183,485,62,217,18,245,82,205,6.0,nan,983.0
150277,MINI B,b,nan,137.0,300.0,263.0,9,6,25,5,2,3,49,69,33,22,9,31,36,5.0,182.0,255.0
15028,MINI C,w,nan,117.0,400.0,nan,232,82,127,215,185,60,73,49,119,7,9,107,51,6.0,308.0,209.0
150288,MINI C,b,nan,92.0,300.0,129.0,20,49,0,0,8,9,1,26,15,-5,0,6,7,5.0,37.0,355.0
15007,SELINE,W,-42.0,-2.0,nan,nan,155,202,161,-9,68,85,222,77,212,55,46,152,122,6.0,734.0,190.0
15008,SELINE,w,nan,189.0,150.0,381.0,63,86,56,0,7,3,25,22,60,6,24,29,27,5.0,137.0,202.0
150077,SELINE,b,nan,90.0,450.0,337.0,14,17,43,0,26,2,24,77,32,43,36,23,42,5.0,212.0,328.0
150088,SELINE,B,nan,217.0,0.0,145.0,1,44,2,27,6,0,22,10,14,0,1,18,9,5.0,47.0,170.0
150099,SELINE,b,nan,63.0,0.0,64.0,24,-4,0,0,2,27,11,0,1,1,0,2,3,5.0,13.0,50.0
15009,SELINE,w,nan,687.0,0.0,197.0,21,10,32,10,7,9,19,17,12,9,32,19,18,5.0,89.0,598.0
15061,STEPS,w,28.0,1.0,900.0,919.0,119,82,68,21,97,125,121,62,39,10,119,56,70,5.0,351.0,438.0
15062,STEPS,w,nan,67.0,200.0,268.0,27,10,13,18,38,33,44,3,8,36,24,14,23,5.0,115.0,152.0
15060,STEPS,w,224.0,8.0,800.0,732.0,28,20,53,68,75,113,137,20,70,21,65,62,63,5.0,313.0,473.0
150611,STEPS,B,nan,118.0,0.0,193.0,2,27,34,-7,40,27,34,-1,0,0,5,32,8,5.0,38.0,80.0
150622,STEPS,B,112.0,4.0,100.0,67.0,4,0,1,26,6,0,0,23,7,0,0,0,6,5.0,30.0,74.0
150600,STEPS,B,nan,46.0,200.0,138.0,10,0,4,5,21,10,11,15,0,4,32,26,12,5.0,62.0,184.0
15037,TORRES,w,nan,87.0,100.0,159.0,1,24,2,6,10,12,44,34,2,7,5,12,18,5.0,92.0,95.0
15039,TORRES,G,0.0,0.0,350.0,198.0,18,7,4,6,0,11,7,3,0,131,3,8,29,5.0,144.0,206.0
15040,TORRES,w,nan,59.0,150.0,120.0,13,14,5,0,15,6,9,12,32,10,4,0,13,5.0,67.0,142.0
15038,TORRES,b,nan,179.0,0.0,152.0,26,39,29,1,1,6,17,12,4,12,1,4,9,5.0,46.0,133.0
15041,TORRES,B,nan,158.0,0.0,54.0,2,9,4,0,0,2,19,10,4,1,3,0,7,5.0,37.0,121.0
15394,TORRES,G,nan,50.0,0.0,2.0,0,0,0,0,0,0,0,0,1,1,0,0,0,5.0,2.0,48.0
